BillNo,Sn,ArriveDate,RecordDate
QZ0019165,0,961119,961130
QZ0019166,0,961121,961226
QZ0019167,0,961119,961130
QZ0019168,0,961119,961130
QZ0019169,0,961119,961130
QZ0019171,0,961121,961206
QZ0019172,0,961122,961212
QZ0019173,0,970119,961210
QZ0019174,0,961119,961130
QZ0019175,0,961122,961212
QZ0019176,0,961121,961226
QZ0019177,0,961119,961130
QZ0019178,0,961119,961130
QZ0019179,0,961119,961130
QZ0019180,0,961119,961130
QZ0019181,0,961121,961206
QZ0019182,0,961119,961130
QZ0019183,0,961119,961130
QZ0019184,0,961119,961130
QZ0019185,0,961119,961130
QZ0019186,0,961119,961130
QZ0019187,0,961119,961130
QZ0019188,0,961119,961130
QZ0019189,0,970119,961210
QZ0019190,0,961121,961226
QZ0019191,0,961121,961204
QZ0019192,0,970119,961210
QZ0019193,0,961119,961130
QZ0019194,0,961121,961206
QZ0019195,0,961119,961130
QZ0019196,0,961121,961206
QZ0019197,0,970119,961210
QZ0019198,0,961121,961206
QZ0019201,0,961120,961204
QZ0019203,0,961119,961130
QZ0019204,0,961119,961130
QZ0019205,0,961119,961130
QZ0019206,0,961119,961130
QZ0019207,0,961119,961130
QZ0019208,0,961120,961204
QZ0019210,0,961121,961226
QZ0019211,0,961119,961130
QZ0019212,0,961119,961130
QZ0019213,0,961119,961130
QZ0019214,0,961119,961130
QZ0019215,0,961119,961130
QZ0019216,0,961119,961130
QZ0019217,0,961119,961130
QZ0019218,0,961119,961130
QZ0019219,0,961119,961130
QZ0019220,0,961119,961130
QZ0019221,0,961121,961226
QZ0019222,0,961121,961206
QZ0019223,0,970119,961210
QZ0019224,0,961119,961130
QZ0019225,0,961119,961130
QZ0019226,0,970119,961210
QZ0019227,0,961121,961226
QZ0019228,0,961119,961130
QZ0019229,0,961121,961226
QZ0019230,0,961122,961212
QZ0019231,0,961119,961130
QZ0019232,0,961119,961130
QZ0019233,0,961121,961226
QZ0019234,0,961121,961226
QZ0019235,0,961121,961226
QZ0019236,0,961121,961226
QZ0019237,0,961121,961226
QZ0019238,0,961221,970114
QZ0019239,0,961119,961130
QZ0019240,0,961119,961130
QZ0019241,0,961129,961204
QZ0019242,0,961119,961130
QZ0019243,0,961120,961204
QZ0019244,0,970119,961210
QZ0019245,0,970119,961210
QZ0019246,0,970119,961210
QZ0019247,0,970119,961210
QZ0019248,0,970119,961210
QZ0019249,0,970119,961210
QZ0019250,0,961122,961212
QZ0019251,0,961119,961130
QZ0019252,0,961119,961130
QZ0019253,0,961119,961130
QZ0019254,0,961119,961130
QZ0019255,0,961119,961130
QZ0019256,0,961119,961130
QZ0019257,0,961119,961130
QZ0019258,0,961119,961130
QZ0019259,0,961119,961130
QZ0019260,0,961121,961226
QZ0019261,0,961121,961212
QZ0019262,0,961119,961130
QZ0019263,0,961120,961204
QZ0019264,0,961122,961212
QZ0019265,0,961121,961206
QZ0019266,0,961121,961206
QZ0019267,0,961119,961130
QZ0019268,0,961119,961130
QZ0019269,0,961120,961204
QZ0019271,0,961121,961226
QZ0019272,0,961120,961210
QZ0019273,0,961120,961210
QZ0019274,0,961120,961210
QZ0019275,0,961119,961130
QZ0019276,0,961120,961210
QZ0019277,0,961120,961204
QZ0019278,0,961121,961226
QZ0019280,0,961119,961130
QZ0019281,0,961119,961130
QZ0019282,0,961119,961130
QZ0019283,0,961119,961130
QZ0019284,0,961119,961130
QZ0019285,0,961119,961130
QZ0019286,0,961121,961226
QZ0019288,0,970119,961210
QZ0019289,0,970119,961210
QZ0019290,0,961121,961226
QZ0019291,0,961121,961226
QZ0019292,0,961121,961226
QZ0019293,0,961119,961204
QZ0019294,0,961120,961210
QZ0019295,0,961121,961226
QZ0019296,0,961121,961226
QZ0019297,0,961120,961210
QZ0019298,0,961121,961226
QZ0019299,0,961119,961130
QZ0019300,0,961119,961130
QZ0019301,0,961119,961130
QZ0019302,0,970119,961210
QZ0019303,0,961120,961204
QZ0019304,0,961120,961204
QZ0019305,0,961120,961204
QZ0019306,0,961119,961130
QZ0019307,0,961119,961130
